t,x,y,z
86848034.3565601110458374,147763564.3323082923889160,22136026.3969979099929333,9596548.3411918226629496
87477235.1243279576301575,143288060.3746702969074249,38832118.5961796715855598,16835422.8006312251091003
88106435.8920958042144775,136553164.0573240518569946,54908234.4481124952435493,23805656.3883847482502460
88735636.6598636209964752,127665465.7820805609226227,70111628.6506567448377609,30396551.0391252823174000
89364837.4276314675807953,116747923.7601554244756699,84206386.2936640679836273,36506782.2899487614631653
89994038.1953993141651154,103949721.2152644246816635,96953988.6022162884473801,42034019.7214029654860497
90623238.9631671309471130,89476217.4319972544908524,108129884.3000789284706116,46879537.9384543821215630
91252439.7309349775314331,73563693.3495851904153824,117555040.1969824880361557,50965112.7375370934605598
91881640.4987028241157532,56454189.2225473076105118,125076719.5248278230428696,54225851.7769082933664322
92510841.2664706408977509,38412200.8057953491806984,130553551.5002423673868179,56600996.1396488398313522
93140042.0342384874820709,19744279.7330942153930664,133882195.4322437793016434,58044121.0275748074054718
93769242.8020063340663910,761026.7090801291633397,135014777.8388042449951172,58534450.1620707288384438
94398443.5697741508483887,-18239211.7823175974190235,133932864.3291414827108383,58065459.9939411431550980
95027644.3375419974327087,-36947720.2352452278137207,130638162.3209036290645599,56637731.3176573663949966
95656845.1053098440170288,-55040391.4364437833428383,125183700.7960305511951447,54272738.5340793654322624
96286045.8730776906013489,-72219492.6627883911132812,117673606.0170715749263763,51016169.6551505103707314
96915246.6408455073833466,-88218631.4803583472967148,108233341.1891468912363052,46923767.1767062246799469
97544447.4086133539676666,-102775249.3181394934654236,97008006.1633982956409454,42057594.8309259414672852
98173648.1763812005519867,-115640904.9778888076543808,84191592.6545886993408203,36500656.0339207127690315
98802848.9441490173339844,-126617158.0869071632623672,70010605.3359466642141342,30352162.5668846406042576
99432049.7119168639183044,-135547722.0730383098125458,54694761.5157292410731316,23712667.5788431502878666
100061250.4796847105026245,-142289064.8727129399776459,38485438.3043316453695297,16685459.7135432269424200
100690451.2474525272846222,-146733615.4732866585254669,21657483.1051596663892269,9389202.7255633957684040
101319652.0152203738689423,-148833083.0750977396965027,4492238.5261320210993290,1947188.3234008366707712
101948852.7829882204532623,-148578457.7438271641731262,-12746549.6628679186105728,-5525880.1848481809720397
102578053.5507560372352600,-145974398.2006066441535950,-29793035.1459196768701077,-12916326.5870461314916611
103207254.3185238838195801,-141070829.3208378553390503,-46368707.0294430255889893,-20103243.8126535639166832
103836455.0862917304039001,-133971480.6292459666728973,-62213295.3067871853709221,-26972381.1120448596775532
104465655.8540595769882202,-124804613.6323014795780182,-77099588.2558140009641647,-33425579.0151628218591213
105094856.6218273937702179,-113707850.7197101712226868,-90804742.8906657844781876,-39367684.6792468950152397
105724057.3895952403545380,-100862250.4553390145301819,-103112660.3893766105175018,-44704266.5163151696324348
