t,x,y,z
85589632.8210244476795197,-48006769.6342692524194717,1060045993.3694725036621094,449306944.2761325836181641
86218833.5887922644615173,-52004425.1318704336881638,1062891366.2231562137603760,450561006.9140744209289551
86848034.3565601110458374,-56000234.1636316925287247,1065700488.1668676137924194,451799692.8133721947669983
87477235.1243279576301575,-59994071.5307915508747101,1068473569.9987031221389771,453023089.1178728938102722
88106435.8920958042144775,-63985811.4307369366288185,1071210819.6069512367248535,454231281.5523796677589417
88735636.6598636209964752,-67975327.5926160812377930,1073912438.2671437263488770,455424353.1915432214736938
89364837.4276314675807953,0.0000000000000000,0.0000000000000000,0.0000000000000000
89994038.1953993141651154,-75947201.9966833293437958,1079209597.6982095241546631,457765471.8209267854690552
90623238.9631671309471130,-79929323.1014622300863266,1081805541.2044708728790283,458913685.7660942673683167
91252439.7309349775314331,-83908743.9600427448749542,1084366655.0284981727600098,460047110.9218493103981018
91881640.4987028241157532,-87885349.0830886512994766,1086893132.0470676422119141,461165827.1004264950752258
92510841.2664706408977509,-91859023.8589625656604767,1089385159.4684662818908691,462269911.7280229926109314
93140042.0342384874820709,-95829655.7806556820869446,1091842927.8574173450469971,463359443.8168492913246155
93769242.8020063340663910,-99797134.1791114807128906,1094266625.6903538703918457,464434501.3955321907997131
94398443.5697741508483887,-103761349.7580933123826981,1096656436.6075677871704102,465495160.3580101728439331
95027644.3375419974327087,-107722194.1009512692689896,1099012541.4641559123992920,466541495.2773626446723938
95656845.1053098440170288,-111679558.4481965005397797,1101335119.3481750488281250,467573579.8206518292427063
96286045.8730776906013489,-115633334.6717280745506287,1103624347.4362046718597412,468591487.0275423526763916
96915246.6408455073833466,-119583417.6740841418504715,1105880397.1731412410736084,469595287.8740394115447998
97544447.4086133539676666,-123529705.8238402605056763,1108103441.6081287860870361,470585054.1086999177932739
98173648.1763812005519867,0.0000000000000000,0.0000000000000000,0.0000000000000000
98802848.9441490173339844,-131410502.2854591757059097,1112451238.7876744270324707,472522783.2277044653892517
99432049.7119168639183044,-135344816.7015336751937866,1114576316.1901180744171143,473470875.9468222260475159
100061250.4796847105026245,-139274947.9526025652885437,1116669067.3172678947448730,474405209.2716082334518433
100690451.2474525272846222,-143200801.1158876717090607,1118729662.9929251670837402,475325812.6546344757080078
101319652.0152203738689423,-147122285.6176186501979828,1120758269.7307951450347900,476232802.5595793724060059
101948852.7829882204532623,-151039310.5760629475116730,1122755034.6644225120544434,477126239.6244985461235046
102578053.5507560372352600,-154951785.4024354517459869,1124720121.9403259754180908,478006191.5420474410057068
103207254.3185238838195801,-158859618.3647164404392242,1126653685.6444685459136963,478872721.4970014691352844
103836455.0862917304039001,-162762717.2798071503639221,1128555880.0074484348297119,479725892.7993614673614502
104465655.8540595769882202,-166660991.9140600860118866,1130426857.8854978084564209,480565768.4430123567581177
105094856.6218273937702179,-170554350.2208514511585236,1132266772.0711190700531006,481392411.9093113541603088
105724057.3895952403545380,-174442066.5735634267330170,1134076445.6506426334381104,482206252.5901497006416321
106353258.1573630869388580,-178324694.8850588202476501,1135855339.1496062278747559,483006977.0680249929428101
106982458.9251309037208557,0.0000000000000000,0.0000000000000000,0.0000000000000000
107611659.6928987503051758,-186074336.6102247536182404,1139321345.7714374065399170,484569306.6034063696861267
108240860.4606665968894958,-189941176.2231101393699646,1141008755.6818807125091553,485331033.2590516805648804
108870061.2284344136714935,-193802578.6661491990089417,1142665959.2998721599578857,486079878.4665380716323853
109499261.9962022602558136,-197658456.3469273746013641,1144293094.2842674255371094,486815898.2134585976600647
110128462.7639701068401337,-201508720.7936598956584930,1145890296.1825411319732666,487539147.3636524677276611
110757663.5317379236221313,-205353281.4182177484035492,1147457700.0934164524078369,488249680.3057395815849304
111386864.2995057702064514,-209192044.0717547535896301,1148995432.7496371269226074,488947547.8492584824562073
112016065.0672736167907715,-213024916.2429199516773224,1150503625.7710573673248291,489632803.1221534609794617
112645265.8350414633750916,-216851810.6067295968532562,1151982429.7025964260101318,490305507.3789047598838806
